Network_Name,Strategy,Avg_Total_Infections,total_tests_administered,total_positive_tests,total_wasted_tests,Avg_Peak_Infections,Avg_Time_to_Peak,integrated_infections,communities_infected_count,proportion_infected,avg_time_to_infection,communities_intervened_count,proportion_intervened,avg_time_to_intervention,Avg_Peak_Infections,Avg_Time_to_Peak,Avg_Total_Infections,Avg_Positive_Test_Rate,Avg_Tests_per_Positive,Gini_Coefficient_Allocations,Avg_Quarantine_Efficiency
SBM_5k_Zero_Modularity,Beta-Binomial-14,,,,,,,,,,,,,,2819.6,19.4,0.0,0.31664,3.1581606872157657,0.5873877661538461,0.387791621550896
SBM_5k_Zero_Modularity,Gamma-Poisson-14,,,,,,,,,,,,,,2789.6,19.6,0.0,0.1096,9.124087591240876,0.8396397046153846,0.07981317859416873
SBM_5k_Zero_Modularity,Proportional,,,,,,,,,,,,,,2812.2,19.6,0.0,0.32536,3.0735185640521268,0.3438227938461538,0.3957724729395726
SBM_5k_Zero_Modularity,Uniform,,,,,,,,,,,,,,2803.0,19.2,0.0,0.31712,3.153380423814329,0.1984615384615384,0.39714246301627526
SBM_5k_Zero_Modularity,Random,,,,,,,,,,,,,,2828.4,19.6,0.0,0.31612,3.1633556877135267,0.2866230646153846,0.39411293041832074
SBM_5k_Low_Modularity,LocalGNTS-14,,,,,,,,,,,,,,2711.0,20.6,0.0,0.3603377530604632,2.7751741012610576,0.2873594586768991,0.4894861702600363
SBM_5k_Low_Modularity,Beta-Binomial-14,,,,,,,,,,,,,,2734.4,21.8,0.0,0.2858,3.4989503149055285,0.5279247507692307,0.3951050183755529
SBM_5k_Low_Modularity,Gamma-Poisson-14,,,,,,,,,,,,,,2740.0,21.0,0.0,0.16372,6.10798924993892,0.8396391630769231,0.12945706661089335
SBM_5k_Low_Modularity,Proportional,,,,,,,,,,,,,,2767.2,20.8,0.0,0.28708,3.483349588964749,0.3329049353846154,0.40014635800868487
SBM_5k_Low_Modularity,Uniform,,,,,,,,,,,,,,2729.2,21.8,0.0,0.2448,4.084967320261438,0.1984615384615384,0.41209126800712875
SBM_5k_Low_Modularity,Random,,,,,,,,,,,,,,2743.0,20.8,0.0,0.27064,3.694945314809341,0.2902108553846154,0.3932117224484669
SBM_5k_Medium_Modularity,LocalGNTS-14,,,,,,,,,,,,,,2464.4,24.2,0.0,0.3743169398907104,2.6715328467153285,0.3375566342483027,0.49394444035733437
SBM_5k_Medium_Modularity,Beta-Binomial-14,,,,,,,,,,,,,,2630.2,24.4,0.0,0.23556,4.24520292069961,0.5221864123076922,0.40867882973480263
SBM_5k_Medium_Modularity,Gamma-Poisson-14,,,,,,,,,,,,,,2620.4,23.6,0.0,0.16704,5.986590038314176,0.8396720492307692,0.1323324671001191
SBM_5k_Medium_Modularity,Proportional,,,,,,,,,,,,,,2654.2,23.4,0.0,0.22996,4.348582362149939,0.3513576369230769,0.4105438119598874
SBM_5k_Medium_Modularity,Uniform,,,,,,,,,,,,,,2636.4,24.4,0.0,0.2356,4.244482173174872,0.1984615384615384,0.4002858698147086
SBM_5k_Medium_Modularity,Random,,,,,,,,,,,,,,2634.8,24.4,0.0,0.23456,4.263301500682128,0.2873194092307691,0.4061216056932995
SBM_5k_High_Modularity,LocalGNTS-14,,,,,,,,,,,,,,1688.8,33.6,0.0,0.4555279454107995,2.195255000432938,0.4307073476359951,0.5378126521611647
SBM_5k_High_Modularity,Beta-Binomial-14,,,,,,,,,,,,,,2109.6,36.8,0.0,0.23784,4.204507231752439,0.4996718523076923,0.43592136769400325
SBM_5k_High_Modularity,Gamma-Poisson-14,,,,,,,,,,,,,,2080.4,36.4,0.0,0.13892,7.198387561186294,0.836791876923077,0.10311520124441345
SBM_5k_High_Modularity,Proportional,,,,,,,,,,,,,,2112.6,35.6,0.0,0.22944,4.358437935843794,0.3849596061538461,0.43912372800718225
SBM_5k_High_Modularity,Uniform,,,,,,,,,,,,,,2114.2,36.8,0.0,0.2346,4.262574595055414,0.1984615384615384,0.43753685407204995
SBM_5k_High_Modularity,Random,,,,,,,,,,,,,,2116.0,37.0,0.0,0.23384,4.276428327061239,0.2872081723076922,0.4420041820859877
SBM_5k_Max_Modularity,LocalGNTS-14,,,,,,,,,,,,,,711.4,41.2,0.0,0.3900519001010136,2.563761385961779,0.3886083324178695,0.4989479018390218
SBM_5k_Max_Modularity,Beta-Binomial-14,,,,,,,,,,,,,,1289.0,43.4,0.0,0.3164,3.1605562579013906,0.5549317415384616,0.42697410985772594
SBM_5k_Max_Modularity,Gamma-Poisson-14,,,,,,,,,,,,,,1390.8,47.4,0.0,0.15508,6.448284756254836,0.8383661784615384,0.09867646077453046
SBM_5k_Max_Modularity,Proportional,,,,,,,,,,,,,,1208.8,51.8,0.0,0.33736,2.9641925539483043,0.3506027076923076,0.4045952498137676
SBM_5k_Max_Modularity,Uniform,,,,,,,,,,,,,,1169.4,48.8,0.0,0.31092,3.216261417728033,0.1984615384615384,0.3904147942674808
SBM_5k_Max_Modularity,Random,,,,,,,,,,,,,,1330.0,42.0,0.0,0.28624,3.49357182783678,0.2876744861538461,0.4211235110419246
